RIL,yd,tp,gn,kgw,gw,gl,hd,OsC1,Bin868
R001,26.55,11.575,98.6,24.2325,3,9.74,80.1,0,1
R002,18.65,12.975,61.8,23.395,2.78,9.595,74.33333333,0,1
R003,21.3625,12.25,74.1,24.02,2.905,9.61,78.56666667,0,1
R004,26.94,9.9,126.65,22.2575,2.94,8.36,86.66666667,1,0
R005,26.0325,11.4,88.55,26.1275,3.25,8.88,93.66666667,1,0
R006,26.0225,11.425,106.1,21.62,2.94,8.815,85.9,0,1
R007,25.885,11.15,91.675,25.44,3.045,8.925,82.56666667,0,1
R008,31.955,12.025,106.75,25.1875,2.91,9.555,86,0,1
R009,31.1625,9.825,123.175,25.6825,2.94,9.375,91.33333333,1,0
R010,28.0925,11.45,87.85,28.745,3.45,9.42,79.76666667,0,1
R012,31.2275,11.525,89.3,29.915,3.43,9.595,94.23333333,0,1
R013,24.81,9.875,102.7,24.1075,3.415,8.23,97.23333333,1,0
R014,21.7725,10.2,79.125,26.5675,3.07,9.185,84.9,1,0
R015,28.8675,8.25,149.325,23.3925,3.155,8.475,89.76666667,1,0
R016,33.7575,12.95,99.325,25.525,2.98,9.26,94.56666667,1,0
R017,30.7225,12.175,98.5,25.35,3.105,9.27,91.56666667,1,0
R018,27.69,10.8,97.25,25.6275,3.37,9.17,85,0,1
R019,27.46,10.35,98.575,25.9475,3.43,8.805,83,1,0
R020,29.4025,11.1,102.225,26.0525,3.445,8.975,83.76666667,1,0
R021,34.32,10.625,125.6,26.0975,3.655,8.165,99.33333333,0,1
R022,13.835,7.775,74.75,23.785,3.14,8.48,66.33333333,1,0
R023,23.83,12.45,94.225,20.38,2.86,8.205,70.66666667,1,0
R025,26.38,11.25,122.5,19.0225,2.77,8.125,90.66666667,1,0
R027,27.08,8.55,134.925,23.5125,3.445,8.285,81.43333333,0,1
R028,21.6275,11.1,80.875,24.665,3.065,8.75,73.76666667,1,0
R029,28.1325,11.9,93.25,25.405,3.24,8.6,80.9,0,1
R030,27.66,10.95,91.45,27.7725,3.145,9.77,81.23333333,0,1
R031,24.22,12.375,77.125,26.245,3.305,9.405,76.23333333,0,1
R032,20.63,11.1,82.325,22.57,2.76,9.115,79.76666667,0,1
R033,31.2625,10.875,114.675,25.065,3.065,8.85,81.76666667,0,1
R034,30.085,10.375,117.15,24.8525,3.095,8.85,80.56666667,0,1
R036,29.3475,12.8,109.025,21.44,2.985,8.075,87.23333333,1,0
R039,20.9275,11.675,69.05,26.32,2.82,10.33,72.56666667,0,1
R040,33.4025,11.8,128.95,22.235,2.96,8.725,80.33333333,0,1
R041,33.85,11.95,126.475,22.665,2.815,8.57,86,1,0
R042,28.3975,10.7,101,26.295,3.235,9.525,92.1,1,0
R043,25.58,11.075,83,27.7525,3.305,9.885,80.9,0,1
R044,20.7275,10.975,75.775,25.345,2.97,9.61,91.43333333,0,1
R045,25.49,10.225,92.9,26.3175,3.395,8.67,80.9,0,1
R046,30.44,10.2,119.875,24.79,3.325,8.625,96.33333333,0,1
R048,29.9325,12.1,115.775,21.395,3.015,8.755,81.1,0,1
R049,19.015,11.45,73.75,20.3375,2.9,7.97,81.1,1,0
R050,23.885,8.65,111.15,24.2975,3.025,8.875,84.1,1,0
R051,29.41,11.025,97.3,27.7925,3.26,9.765,79.9,0,1
R053,14.47,9.75,68.15,22.3525,2.9,8.91,66.1,1,0
R054,24.77,10.825,96.125,24.22,3.275,8.1,72.43333333,1,0
R055,21.1475,12.375,87.275,20.005,2.825,8.155,77.33333333,0,1
R056,27.3575,12.625,85.85,25.28,2.8,9.74,86.25426731,1,0
R057,27.93,11.1,119.175,21.395,3.14,8.38,81,0,1
R059,25.5275,12.275,82.8,25.56,3.255,9.455,82.9,1,0
R060,16.4325,10.35,73.875,21.0975,2.785,8.685,70.12093398,1,0
R061,26.37,10.575,98.7,25.2925,3.3,8.595,82.9,1,0
R062,27.1725,9.875,110.4,24.9325,3.335,8.415,80.56666667,1,0
R063,17.27,9.65,71.625,25.35,3.385,8.875,68.56666667,1,0
R064,27.6525,10.975,95.95,26.5125,3.35,8.665,78.33333333,0,1
R065,26.7425,9.425,102.65,27.965,3.355,8.775,78,1,0
R066,21.9975,11.575,96.4,20.0325,2.965,8.265,76.9,0,1
R067,21.695,10.425,101.9,20.3975,2.84,9.035,82.9,0,1
R068,27.9,12.225,86.275,26.5325,3.47,8.64,84,1,0
R069,28.0475,11.875,91.375,26.6625,3.12,8.18,86.76666667,1,0
R070,25.5325,11.1,108.025,21.3675,2.99,8.55,84.33333333,0,1
R071,31.5625,11.025,124.7,22.87,3.195,8.255,84.66666667,0,1
R072,26.2775,12.8,89.1,23.8325,3.14,8.35,87.1,0,1
R073,16.8675,10.475,66.25,25.685,3.215,8.97,78.33333333,0,1
R074,20.965,10.825,74.175,26.9525,3.25,9.025,79.9,0,1
R075,23.7325,11.575,76.425,26.5875,2.98,9.24,91.02093398,0,1
R076,30.5075,9.2,142.525,22.975,3.02,8.185,87.9,0,1
R077,25.165,11.375,80.8,27.9225,3.065,10.22,78.43333333,0,1
R078,26.5175,10.475,93.25,26.5675,3.14,9.9,96.9,0,1
R079,31.1875,11.15,118.475,23.4825,3.055,8.5,89,0,1
R080,32.7,11.2,130.925,21.8825,3.47,7.805,99.23333333,0,1
R081,31.1475,10.5,122.875,24.0175,3.15,8.525,81.1,0,1
R082,30.455,11.05,111.7,24.56,3.115,8.465,79.76666667,0,1
R083,32.985,10,112.65,28.5775,3.405,8.655,97.23333333,1,0
R084,23.98,11.8,114.425,18.2025,2.795,7.795,91.76666667,1,0
R086,26.985,11.925,90.625,25.0125,2.885,9.655,88,1,0
R087,26.3375,11.15,89.175,25.84,2.92,9.425,90.76666667,1,0
