ID	vulvar length	vulvar width	vulvar angle	birth season	age	measurement batch
7356	3.1	1.1	163	1	161	1
7364	3.9	1.2	152	1	161	1
7428	5.2	2.7	156	1	159	1
7440	3.6	1.6	176	1	159	1
7442	3.4	1.2	150	1	159	1
7454	3.4	0.9	144	1	159	1
7484	3.5	1.4	139	1	158	1
7668	4.1	2.2	141	1	161	2
7676	4.8	2.6	119	1	161	2
7678	5.2	3.4	131	1	161	2
7688	5.7	2.3	146	1	160	2
7694	5.1	2.1	158	1	160	2
7738	5.3	2.6	137	1	157	2
7888	3.9	3.2	140	1	164	3
8056	4.5	4	160	1	159	3
8086	4.3	3.9	155	1	159	3
8484	3.1	2.2	169	1	166	4
8488	3.7	3	166	1	166	4
8528	3.3	3	147	1	165	4
8558	3.3	3.2	134	2	163	4
8564	3.6	2.7	144	2	163	4
8566	3.3	3	142	2	163	4
8588	3.3	2.8	128	2	161	4
8668	3.6	2.7	147	2	157	4
8718	4.9	3.7	163	2	162	5
8722	3.2	2.8	146	2	162	5
8728	3.9	3.2	167	2	162	5
8784	3.2	2.7	144	2	160	5
8802	2.6	2.1	124	2	159	5
8876	1.2	2.8	126	2	156	5
9060	3.3	2.7	123	2	168	6
9128	3.2	2.7	167	2	162	6
9194	3.6	3.1	172	2	160	6
9198	2.8	3.2	148	2	160	6
9226	4.6	3.2	167	2	159	6
9234	2.7	2.3	134	2	159	6
9238	4	2.8	180	2	158	6
9242	3.8	2.4	178	2	158	6
9298	3.3	3.1	164	2	160	6
9322	4.8	2.2	149	2	159	6
9334	3.3	3.2	154	2	159	6
9336	5.3	2.6	136	2	159	6
9338	3.9	2.8	177	2	159	6
9342	4.3	3.2	156	2	159	6
9352	3	3.2	134	2	157	6
9418	4.3	2	178	2	156	6
9428	3.9	2.6	167	2	161	7
9458	3.5	2.5	171	2	161	7
9478	3.8	2.6	177	2	159	7
9480	3.6	2.2	178	2	159	7
9488	3.7	2.6	136	2	159	7
9496	3.6	2.4	153	2	159	7
9514	3.2	2.6	122	2	159	7
9576	3.8	3.1	157	2	162	8
9584	4	3.3	172	2	162	8
9626	4.1	3.2	167	2	158	8
9694	3.6	3.1	151	2	160	9
9696	3.6	2.1		2	160	9
9758	4.1	3.1	167	2	163	10
9764	3.8	3.1	167	2	163	10
9786	3.6	2.9	154	2	163	10
9818	4.3	3.2	157	2	163	10
9940	4.1	3.4	91	2	162	11
9952	2.8	2.1	144	2	162	11
9960	4.4	3.5	143	2	162	11
10082	4.3	3.6	158	2	162	11
10098	4.1	3.7	157	2	171	13
10106	4	3.1	108	2	160	12
10166	4.3	3.5	166	2	160	12
10310	3.7	3.3	161	2	168	13
10314	4.3	3.8	165	2	168	13
10320	3.8	3.2	146	2	160	12
10438	3.6	2.8	158	2	165	13
10608	3.7	3.2	163	3	187	14
10680	3.6	3.3	171	3	157	13
10686	4.1	3.7	146	3	157	13
10698	3.9	3.6	146	3	185	14
10710	4	3.4	172	3	155	13
10722	3.2	2.7	176	3	184	14
10740	3.6	2.7	143	3	184	14
10746	3.6	3.1	153	3	154	13
10838	3.7	2.9	163	3	179	14
10988	3.7	2.6	157	3	177	14
11038	3.7	2.6	156	3	177	14
11054	3.7	3.3	152	3	176	14
11210	3.3	2.9	168	3	167	14
11222	4.6	3.1	152	3	167	14
11242	3.8	3.1	146	3	167	14
11438	3.2	2.6	147	3	159	14
11508	3.1	2.6	156	3	156	14
11828	3.1	3.2	163	3	195	15
12228	3.2	2.7	177	3	184	16
12376	3.8	3.1	153	3	180	16
12392	2.6	2.1	127	3	179	16
12394	4	2.9	167	3	179	16
12444	3.9	3.1	142	3	174	15
12472	3.3	2.8	141	3	173	15
12488	3.4	3.2	153	3	173	15
12686	3.2	2.6	171	3	162	15
12764	3.2	2.8	179	3	160	15
12766	3.6	3.1	134	3	160	15
12796	2.8	2.1	154	3	160	15
12826	4.3	3.2	180	3	159	15
12886	3.1	2.9	176	3	156	15
12888	4	2.7	176	3	156	15
12890	4.2	3.6	128	3	156	15
12892	3.1	4.2	176	3	156	15
12894	3.8	3.1	147	3	156	15
12900	4	3.9		3	160	16
12904	3.4	2.8		3	160	16
12912	4.9	4.3		3	160	16
12916	4.3	3.6	163	3	160	16
12926	3.2	2.7		3	157	16
12928	3.8	3.1		3	157	16
12934	3.9	3.1		3	156	16
12938	3.2	2.7	180	3	152	15
12942	3.9	3.7		3	156	16
12954	4.3	2.7	142	3	156	16
12956	2.3	1.9		3	156	16
12960	4.3	2.6	152	3	156	16
12966	4	2	120	3	152	15
13008	4.3	3.8	166	4	154	16
13010	4.3	3.5	142	4	153	16
13018	3.5	3.1		4	153	16
13036	4.3	2.3	151	4	150	16
13042	4.3	3.3	144	4	149	16
13044	4.3	2.5	129	4	149	16
13046	4.3	2.6	126	4	149	16
13066	4.3	2.9	155	4	146	16
13072	4.3	2.9	171	4	145	16
13074	4.3	2.5	153	4	145	16
13078	4.3	3.2	180	4	145	16
13080	2.8	2.6		4	145	16
13088	2.9	2.3		4	145	16
13090	4.3	2.3	142	4	145	16
13094	4.3	3.1	180	4	144	16
13096	4.3	2.9	131	4	144	16
13146	4.3	3.3	146	4	143	16
14366	3.2	2.3	120	4	163	17
14374	3.4	2.9	125	4	163	17
14398	3.5	2.5	140	4	162	17
14436	3	2	140	4	158	17
14442	3	2.5	113	4	157	17
14444	3.5	3	150	4	157	17
14482	3.2	2.7	148	4	156	17
14528	3.5	3	110	4	154	17
14546	3	2.2	135	4	154	17
14606	3.3	2.8	163	4	165	18
14618	4	3.5	160	4	165	18
14626	4	3.6	168	4	165	18
14630	3.1	2.5	133	4	165	18
14676	4.2	3.7	173	4	162	18
14696	3.1	2.7	155	4	161	18
14700	3.4	2.9	179	4	161	18
14716	3.4	3.2	138	4	160	18
14740	3.6	3.4	142	4	160	18
14744	3.4	2.7	155	4	160	18
14750	4.3	3.7	163	4	159	18
14760	3.6	3.1	117	4	159	18
14776	2.8	2.3	157	4	159	18
14786	4.1	3.2	174	4	159	18
18316	4.6	3.9	180	2	163	19
18324	4.1	3.3	168	2	163	19
18330	3.5	3.3	140	2	163	19
18344	3.2	2.9	180	2	161	19
18430	3.8	3	120	2	159	19
18468	4	2.6	160	2	158	19
18524	3.8	3.2	140	2	157	19
18608	4.3	3	180	2	156	19
18616	4.6	3.7	163	2	155	19
18708	3.9	3.2	166	2	166	20
18718	3.6	2.8	169	2	166	20
18726	4.5	3.7	149	2	164	20
18764	3.7	2.9	180	2	161	20
18768	4.5	3.6	178	2	161	20
18782	3.7	3.4	162	2	161	20
18790	3.3	2.7	162	2	161	20
18844	3.9	3.7	166	2	160	20
18894	3.8	3.3	162	2	160	20
18898	3.2	2.3	166	2	160	20
19008	4	3.2	160	2	166	21
19018	3.9	3	135	2	165	21
19062	4.2	3.2	165	2	165	21
